Date,Open,High,Low,Close,Volume,Market Cap,Currency
6/4/2018,14.68,14.68,13.67,14.26,"58,219,100","1,626,354,242",$
6/3/2018,14.68,14.95,14.33,14.57,"82,182,304","1,661,125,432",$
6/2/2018,14.32,14.85,14.01,14.68,"87,983,000","1,674,091,926",$
6/1/2018,14.25,14.41,13.79,14.24,"80,342,200","1,624,039,204",$
5/31/2018,12.56,14.22,12.41,14.19,"93,931,696","1,618,268,715",$
5/30/2018,12.61,12.8,12.27,12.57,"43,146,300","1,433,601,654",$
5/29/2018,11.96,12.68,11.77,12.57,"48,807,700","1,433,692,887",$
5/28/2018,12.6,12.75,11.7,11.89,"33,398,400","1,356,441,317",$
5/27/2018,12.79,12.79,12.33,12.61,"36,691,600","1,437,581,695",$
5/26/2018,12.96,13.2,12.7,12.76,"43,258,400","1,455,064,225",$
5/25/2018,13.03,13.37,12.64,13.01,"49,173,800","1,483,449,102",$
5/24/2018,12.61,13.19,12.2,13,"54,410,900","1,482,570,984",$
5/23/2018,13.85,13.93,12.33,12.63,"68,215,200","1,439,908,137",$
5/22/2018,14.57,14.84,13.75,13.93,"86,545,104","1,588,081,985",$
5/21/2018,14.13,14.79,13.82,14.72,"97,367,296","1,678,950,085",$
5/20/2018,14.35,14.37,13.69,14.12,"95,390,200","1,610,012,126",$
5/19/2018,15.13,15.62,13.99,14.25,"138,320,992","1,624,598,007",$
5/18/2018,12.36,16.22,12.05,15.14,"243,260,992","1,726,060,542",$
5/17/2018,12.32,12.97,12.27,12.47,"54,251,500","1,421,524,681",$
5/16/2018,12.56,12.57,11.95,12.26,"35,233,200","1,398,203,237",$
5/15/2018,12.85,13.27,12.51,12.57,"45,696,200","1,433,248,126",$
5/14/2018,13.16,13.17,12.36,12.87,"49,317,700","1,467,791,233",$
5/13/2018,13.01,13.55,12.74,13.12,"70,816,496","1,496,073,473",$
5/12/2018,12.97,13.15,12.25,12.94,"44,001,000","1,476,139,055",$
5/11/2018,13.88,14.09,12.59,12.99,"57,027,500","1,481,841,120",$
5/10/2018,14.68,15.05,13.82,13.82,"68,250,000","1,575,868,163",$
5/9/2018,13.52,14.81,13.08,14.66,"99,046,304","1,671,868,121",$
5/8/2018,13.7,13.92,13.15,13.53,"57,865,500","1,542,864,614",$
